Source,Target,Pair
AKT1,"MCF7, T47D",Gene-Cell type
BRAF,Melanoma cells,Gene-Cell type
BRAF,Braf(V600E) melanoma cells,Gene-Cell type
BRAF,Melanoma cell lines,Gene-Cell type
CCND1,Neuroblasts,Gene-Cell type
CCND1,intestinal epithelial cells,Gene-Cell type
CCND1,HEK293T cells,Gene-Cell type
CCND1,Circulating tumor cells (CTCs),Gene-Cell type
CCND1,Neuronal cells,Gene-Cell type
CCND1,Neuroblastoma cells,Gene-Cell type
CCND1,MSCs,Gene-Cell type
CCND1,Tumor cells,Gene-Cell type
CCND1,Glioma cells,Gene-Cell type
CCND1,HaCaT cells,Gene-Cell type
CCND1,Mucosal melanoma,Gene-Cell type
CCND1,Testicular cells,Gene-Cell type
CCND1,A549 cells,Gene-Cell type
CCND1,TE-1 cells,Gene-Cell type
CCND1,Chicken PGCs,Gene-Cell type
CCND1,Myeloma cells,Gene-Cell type
CCND1,"MCF-7, MDA-MB-231",Gene-Cell type
CCND1,Placental explants,Gene-Cell type
CCND1,HGC-27 cells,Gene-Cell type
CCND1,Epidermal stem cells,Gene-Cell type
CCND1,Breast cancer cell lines,Gene-Cell type
CCND1,"OVCAR-3, Caov-4",Gene-Cell type
CCND1,Myoblasts,Gene-Cell type
CCND1,OSCC cells,Gene-Cell type
CCND1,breast cancer cells,Gene-Cell type
CCND1,Mesenchymal stem cells,Gene-Cell type
CCND1,"OVCAR-3, Caov-4 cell lines",Gene-Cell type
CCND1,Cancer cells,Gene-Cell type
CCND1,Ovarian cancer cells,Gene-Cell type
CCND1,"COS cells, osteoprogenitor C3H10T1/2 cells, chondrogenic RCJ3.1C5.18 cells",Gene-Cell type
CCND1,"COS cells, RCJ3.1C5.18 cells",Gene-Cell type
CCND1,Mammalian cells,Gene-Cell type
CCND1,RB pathway,Gene-Cell type
CCND1,MGC-803 cells,Gene-Cell type
CCND1,B cells,Gene-Cell type
CCND1,multiciliated cells,Gene-Cell type
CDKN1A,Glioma cells,Gene-Cell type
CDKN1A,Testicular cells,Gene-Cell type
CDKN1A,TE-1 cells,Gene-Cell type
CDKN1A,Myoblasts,Gene-Cell type
CDKN1A,MEFs,Gene-Cell type
CDKN1A,PDCs,Gene-Cell type
CDKN1A,Proliferating cells,Gene-Cell type
CDKN1A,Fibroblasts,Gene-Cell type
CDKN2A,"Cyclin D-CDK4,CDK6",Gene-Cell type
CDKN2A,Cyclin D1,Gene-Cell type
CDKN2A,Leiomyosarcomatous cells,Gene-Cell type
CDKN2A,Rhabdomyosarcomatous cells,Gene-Cell type
CDKN2A,Astrocytes,Gene-Cell type
CDKN2A,MCF-7 cells,Gene-Cell type
CDKN2A,Cell lines,Gene-Cell type
CDKN2A,Tumor cells,Gene-Cell type
CDKN2A,CMT cells,Gene-Cell type
CDKN2A,Mucosal melanoma,Gene-Cell type
CDKN2A,A549 cells,Gene-Cell type
CDKN2A,Melanoma cell lines,Gene-Cell type
CDKN2A,Carcinoma cells,Gene-Cell type
CDKN2A,MEFs,Gene-Cell type
CDKN2A,Primary human melanocytes,Gene-Cell type
CDKN2A,B-cell precursors,Gene-Cell type
CDKN2A,Glioma cell lines,Gene-Cell type
CDKN2A,T cells,Gene-Cell type
CDKN2A,breast cancer cells,Gene-Cell type
CDKN2A,keratinocytes,Gene-Cell type
CDKN2A,ECFCs,Gene-Cell type
CDKN2A,NIH3T3 fibroblasts,Gene-Cell type
CDKN2A,Cervical cancer cell lines,Gene-Cell type
CDKN2A,Primary cells,Gene-Cell type
CDKN2A,HCC cells,Gene-Cell type
CDKN2A,Gallbladder cells,Gene-Cell type
CDKN2A,Proliferating cells,Gene-Cell type
CDKN2A,Mouse MEL erythroleukemia cells,Gene-Cell type
CDKN2A,Fibroblasts,Gene-Cell type
CDKN2A,Urothelial cells,Gene-Cell type
CDKN2A,retinoblastoma,Gene-Cell type
CDKN2A,HAOSMCs,Gene-Cell type
CDKN2A,Cyclin D-dependent kinases,Gene-Cell type
CDKN2A,B cells,Gene-Cell type
CDKN2B,"Cyclin D-CDK4,CDK6",Gene-Cell type
CDKN2B,granulocyte-monocyte precursors,Gene-Cell type
CDKN2B,Melanoma cell lines,Gene-Cell type
CDKN2B,CD34+ progenitors,Gene-Cell type
CDKN2B,T cells,Gene-Cell type
CDKN2B,Glioma cells,Gene-Cell type
CDKN2B,B cells,Gene-Cell type
E2F1,Glioma cells,Gene-Cell type
E2F1,Beta cells,Gene-Cell type
E2F1,Autophagy regulators,Gene-Cell type
EGFR,GBM cells,Gene-Cell type
EGFR,Glioblastoma cells,Gene-Cell type
EGFR,"MCF7, T47D",Gene-Cell type
EGFR,Chordoma cells,Gene-Cell type
ERBB2,Glioblastoma cells,Gene-Cell type
ERBB2,"MCF7, T47D",Gene-Cell type
ESR1,RB-deficient cells,Gene-Cell type
ESR1,Luminal A BC cells,Gene-Cell type
ESR1,MCF7,Gene-Cell type
ESR1,"Breast cancer cell lines, PDX models",Gene-Cell type
ESR1,MCF-7 breast cancer cells,Gene-Cell type
MDM2,hMSCs,Gene-Cell type
MDM2,Lymphoid cells,Gene-Cell type
MDM2,stromal cells,Gene-Cell type
MDM2,Tumor cells,Gene-Cell type
MDM2,Astrocytes,Gene-Cell type
MDM2,"PDX models, PDCs",Gene-Cell type
MDM2,PDX mouse models,Gene-Cell type
MDM2,p53(wild-type),Gene-Cell type
MDM2,MDA-MB-231 cells,Gene-Cell type
MDM2,MCF-7 cells,Gene-Cell type
MTOR,PI3K/AKT/mTOR pathway,Gene-Cell type
MTOR,Primary GBM cell lines,Gene-Cell type
MTOR,Tumor cells,Gene-Cell type
MYC,Ovarian cancer cells,Gene-Cell type
MYC,Circulating tumor cells,Gene-Cell type
MYC,B-cells,Gene-Cell type
NRAS,Melanoma cells,Gene-Cell type
NRAS,Melanoma cell lines,Gene-Cell type
PIK3CA,NB cell lines,Gene-Cell type
PIK3CA,AML cells,Gene-Cell type
PIK3CA,Tumor cells,Gene-Cell type
PIK3CA,Cell lines,Gene-Cell type
PIK3CA,non-IBC cells,Gene-Cell type
PIK3CA,HPV(neg) HNSCC cell lines,Gene-Cell type
PIK3CA,Melanoma cells,Gene-Cell type
PIK3CA,MCF7 cells,Gene-Cell type
PTEN,Breast cancer cells,Gene-Cell type
PTEN,Circulating tumor cells,Gene-Cell type
RB1,Tumor cells,Gene-Cell type
RB1,Astrocytes,Gene-Cell type
RB1,pituitary cells,Gene-Cell type
RB1,Endothelial cells,Gene-Cell type
RB1,Neuronal cells,Gene-Cell type
RB1,HaCaT cells,Gene-Cell type
RB1,"P114,CF41 cells",Gene-Cell type
RB1,B cells,Gene-Cell type
RB1,HGC-27 cells,Gene-Cell type
RB1,Mouse embryo fibroblasts,Gene-Cell type
RB1,Beta cells,Gene-Cell type
RB1,CD34+ cells,Gene-Cell type
RB1,MEFs,Gene-Cell type
RB1,T-ALL cell line,Gene-Cell type
RB1,Cervical cancer cell lines,Gene-Cell type
RB1,Primary cells,Gene-Cell type
RB1,MCF-7,Gene-Cell type
RB1,Autophagy regulators,Gene-Cell type
RB1,TNBC cell lines,Gene-Cell type
RB1,pRb-competent cells,Gene-Cell type
RB1,Breast cancer cell lines,Gene-Cell type
RB1,HAOSMCs,Gene-Cell type
RB1,Pituitary gland,Gene-Cell type
TP53,Astrocytes,Gene-Cell type
TP53,GBM cells,Gene-Cell type
TP53,MEFs,Gene-Cell type
TP53,IBC cells,Gene-Cell type
TP53,Glioblastoma cells,Gene-Cell type
AKT1,Seminal vesicle tumors,Gene-Disease
AKT1,Breast cancer,Gene-Disease
AKT1,Gliosarcoma,Gene-Disease
AKT1,"Gliosarcoma, glioblastoma",Gene-Disease
AKT1,Glial cell transformation,Gene-Disease
AKT1,Lung cancer,Gene-Disease
AKT1,Melanoma,Gene-Disease
AKT1,Prostate tumor,Gene-Disease
BRAF,Melanoma,Gene-Disease
BRAF,eGBM,Gene-Disease
BRAF,Malignant melanoma,Gene-Disease
BRAF,Acral melanocytic nevus,Gene-Disease
BRAF,Acral melanoma,Gene-Disease
BRAF,"Primary tumor, Secondary lesions",Gene-Disease
BRAF,IDH-wildtype glioblastoma,Gene-Disease
BRAF,Cancer,Gene-Disease
BRAF,Nasal mixed exocrine-neuroendocrine carcinoma,Gene-Disease
BRAF,Brain tumors,Gene-Disease
BRAF,Solid tumors,Gene-Disease
BRAF,Metastatic melanoma,Gene-Disease
BRAF,papillary thyroid carcinoma,Gene-Disease
BRAF,thyroid tumor,Gene-Disease
BRAF,cancer,Gene-Disease
BRAF,Glioblastoma,Gene-Disease
BRAF,Low-grade serous ovarian cancer (LGSC),Gene-Disease
BRAF,AM,Gene-Disease
BRAF,HCC,Gene-Disease
BRAF,Cutaneous melanoma,Gene-Disease
BRAF,histiocytic sarcoma,Gene-Disease
BRAF,Acral melanomas,Gene-Disease
BRAF,Tumors,Gene-Disease
BRAF,Colorectal cancer,Gene-Disease
BRAF,"Melanoma, Cancer",Gene-Disease
BRAF,Melanocytic tumors,Gene-Disease
BRAF,PMM,Gene-Disease
BRAF,Mucosal melanomas,Gene-Disease
BRAF,Carcinomas,Gene-Disease
BRAF,Tumor recurrence,Gene-Disease
CCND1,Neuroblastic tumors,Gene-Disease
CCND1,"Gliomas, Sarcomas, Melanoma, Breast cancer, Colorectal cancer",Gene-Disease
CCND1,Seminal vesicle tumors,Gene-Disease
CCND1,Melanoma,Gene-Disease
CCND1,Cancer,Gene-Disease
CCND1,Acral melanoma,Gene-Disease
CCND1,Anaplasia,Gene-Disease
CCND1,AM,Gene-Disease
CCND1,Tumors,Gene-Disease
CCND1,Ganglioneuroma,Gene-Disease
CCND1,Cervical carcinoma,Gene-Disease
CCND1,Adenoma,Gene-Disease
CCND1,Neoplasms,Gene-Disease
CCND1,"Lymph node metastasis, depth of invasion",Gene-Disease
CCND1,Adenocarcinomas,Gene-Disease
CCND1,Esophageal conditions,Gene-Disease
CCND1,Acral melanoma (AM),Gene-Disease
CCND1,High-grade astrocytomas,Gene-Disease
CCND1,Gallbladder cancer,Gene-Disease
CCND1,"Glioblastoma, Brain metastases",Gene-Disease
CCND1,MCL,Gene-Disease
CCND1,Antiandrogen-resistant disease,Gene-Disease
CCND1,Colorectal cancer (CRC),Gene-Disease
CCND1,Breast cancer,Gene-Disease
CCND1,Cervical cancer,Gene-Disease
CCND1,Immune-refractory cancer,Gene-Disease
CCND1,Hepatocellular carcinoma (HCC),Gene-Disease
CCND1,"Breast cancer, cancer",Gene-Disease
CCND1,Retinoblastoma,Gene-Disease
CCND1,Glioma,Gene-Disease
CCND1,OSCC,Gene-Disease
CCND1,Intestinal neoplasia,Gene-Disease
CCND1,Intestinal adenomas,Gene-Disease
CCND1,Intestinal carcinogenesis,Gene-Disease
CCND1,Varicocele,Gene-Disease
CCND1,Mammary carcinoma,Gene-Disease
CCND1,Adenocarcinoma,Gene-Disease
CCND1,diabetes,Gene-Disease
CCND1,Head and neck squamous cell carcinoma (HNSCC),Gene-Disease
CCND1,Tumor,Gene-Disease
CCND1,Esophageal cancer,Gene-Disease
CCND1,Malignant astrocytomas,Gene-Disease
CCND1,GBM,Gene-Disease
CCND1,Human cancers,Gene-Disease
CCND1,Prostate cancer,Gene-Disease
CCND1,Nasopharyngeal carcinoma (NPC),Gene-Disease
CCND1,Myeloma,Gene-Disease
CCND1,Mammary gland tumors,Gene-Disease
CCND1,Ovarian cancer,Gene-Disease
CCND1,Gastric carcinoma,Gene-Disease
CCND1,Glioblastoma,Gene-Disease
CCND1,Endocrine therapy-resistant breast cancer,Gene-Disease
CCND1,Hepatocarcinogenesis,Gene-Disease
CCND1,Liver tumors,Gene-Disease
CCND1,Parathyroid tumors,Gene-Disease
CCND1,Esophageal squamous cell carcinoma,Gene-Disease
CCND1,Hepatocellular carcinoma,Gene-Disease
CCND1,Colorectal cancer,Gene-Disease
CCND1,Skin tumors,Gene-Disease
CCND1,"WDLPS,DDLPS",Gene-Disease
CCND1,ER+ breast cancer,Gene-Disease
CCND1,Endometrial carcinomas,Gene-Disease
CCND1,Endometrioid-type endometrial carcinomas,Gene-Disease
CCND1,NPC,Gene-Disease
CCND1,Metastatic NPC,Gene-Disease
CCND1,Oral squamous cell carcinoma,Gene-Disease
CCND1,Therapy-refractory solid malignancies,Gene-Disease
CCND1,Synovial sarcoma,Gene-Disease
CCND1,HPV(U) tumors,Gene-Disease
CCND1,Mantle cell NHL,Gene-Disease
CCND1,Gastric cancer,Gene-Disease
CCND1,Advanced gastric cancer,Gene-Disease
CCND1,Parathyroid adenomas,Gene-Disease
CCND1,Multiple myeloma,Gene-Disease
CCND1,FAP (Familial Adenomatous Polyposis),Gene-Disease
CCND1,Pancreatic ductal adenocarcinoma,Gene-Disease
CCND1,Mantle cell lymphoma,Gene-Disease
CCND1,Canine mammary gland cancer,Gene-Disease
CCND1,SPA,Gene-Disease
CCND1,Thin melanoma,Gene-Disease
CCND1,"ESCC, esophageal dysplasia",Gene-Disease
CCND1,HNSCC,Gene-Disease
CCND1,Nonbreast solid tumors,Gene-Disease
CCND1,Salivary gland tumors,Gene-Disease
CCND1,HR-positive breast cancer,Gene-Disease
CCND1,ALM,Gene-Disease
CCND1,Multiple cancers,Gene-Disease
CCND1,Nasopharyngeal carcinoma,Gene-Disease
CCND1,Sarcomas,Gene-Disease
CCND1,"breast cancer,head and neck cancer,non-small-cell lung cancer,mantle cell lymphomas",Gene-Disease
CCND1,HCC,Gene-Disease
CCND1,Advanced sarcomas,Gene-Disease
CCND1,Skin cancer,Gene-Disease
CCND1,HUC senescence,Gene-Disease
CCND1,B cell non-Hodgkin's lymphoma (B-NHL),Gene-Disease
CCND1,Extramammary Paget's disease (EMPD),Gene-Disease
CCND1,FPA,Gene-Disease
CCNE1,Oral cancer,Gene-Disease
CCNE1,Cancer,Gene-Disease
CCNE1,Soft tissue metastasis,Gene-Disease
CCNE1,Melanoma,Gene-Disease
CCNE1,Breast cancer,Gene-Disease
CCNE1,Pleural mesothelioma,Gene-Disease
CCNE1,OSCC,Gene-Disease
CCNE1,Prostate cancer,Gene-Disease
CCNE1,Gastric cancer,Gene-Disease
CCNE1,Advanced gastric cancer,Gene-Disease
CCNE1,HCC,Gene-Disease
CDKN1A,Seminal vesicle tumors,Gene-Disease
CDKN1A,Glioma,Gene-Disease
CDKN1A,OSCC,Gene-Disease
CDKN1A,HCC,Gene-Disease
CDKN1A,Varicocele,Gene-Disease
CDKN1A,Cervical carcinoma,Gene-Disease
CDKN1A,Breast cancer,Gene-Disease
CDKN1A,Cancer,Gene-Disease
CDKN1A,Esophageal squamous cell carcinoma,Gene-Disease
CDKN1A,Hepatocellular carcinoma,Gene-Disease
CDKN1A,Colorectal cancer,Gene-Disease
CDKN1A,Thick melanoma,Gene-Disease
CDKN1A,Tumor,Gene-Disease
CDKN1A,HUC senescence,Gene-Disease
CDKN2A,Melanoma,Gene-Disease
CDKN2A,Glioblastomas,Gene-Disease
CDKN2A,Solid tumors,Gene-Disease
CDKN2A,"Melanomas,Digestive cancers",Gene-Disease
CDKN2A,"ALL, CML, ATL",Gene-Disease
CDKN2A,ALL,Gene-Disease
CDKN2A,Ovarian tumor,Gene-Disease
CDKN2A,Uterine myosarcoma,Gene-Disease
CDKN2A,Uterine leiomyosarcoma,Gene-Disease
CDKN2A,Hereditary cutaneous melanoma,Gene-Disease
CDKN2A,Human tumors,Gene-Disease
CDKN2A,Sarcoma,Gene-Disease
CDKN2A,"Melanoma, multiple cancers",Gene-Disease
CDKN2A,Familial cutaneous malignant melanoma,Gene-Disease
CDKN2A,"Melanoma,Neural system tumors",Gene-Disease
CDKN2A,Hibernoma-like areas,Gene-Disease
CDKN2A,Primary cutaneous melanoma (PCM),Gene-Disease
CDKN2A,Amelanotic melanoma,Gene-Disease
CDKN2A,Familial malignant melanoma,Gene-Disease
CDKN2A,Familial melanoma,Gene-Disease
CDKN2A,"Familial melanoma, multiple melanoma",Gene-Disease
CDKN2A,Cancer,Gene-Disease
CDKN2A,Low-grade gliomas,Gene-Disease
CDKN2A,Astrocytomas,Gene-Disease
CDKN2A,Glioblastoma,Gene-Disease
CDKN2A,"High-grade astrocytomas, glioma",Gene-Disease
CDKN2A,"Astrocytomas, glioma",Gene-Disease
CDKN2A,Uveal melanoma,Gene-Disease
CDKN2A,eGBM,Gene-Disease
CDKN2A,Leukemia,Gene-Disease
CDKN2A,Pediatric ALL,Gene-Disease
CDKN2A,Oral cancer,Gene-Disease
CDKN2A,Head and neck cancer,Gene-Disease
CDKN2A,"Astrocytic tumor, Oligodendroglial tumor",Gene-Disease
CDKN2A,Metastases to pelvis and spine,Gene-Disease
CDKN2A,Primary tumor,Gene-Disease
CDKN2A,Adenoma,Gene-Disease
CDKN2A,OSCC,Gene-Disease
CDKN2A,Malignant melanoma,Gene-Disease
CDKN2A,Cancer predisposition syndrome,Gene-Disease
CDKN2A,"Malignant mesothelioma, Other cancers",Gene-Disease
CDKN2A,Malignant mesothelioma,Gene-Disease
CDKN2A,"Glioblastoma, low-grade astrocytoma, anaplastic astrocytoma",Gene-Disease
CDKN2A,Glioma,Gene-Disease
CDKN2A,Lymphoid tumors,Gene-Disease
CDKN2A,Mucosal melanoma,Gene-Disease
CDKN2A,Oligodendroglioma,Gene-Disease
CDKN2A,Anaplastic oligodendroglioma,Gene-Disease
CDKN2A,WHO grade II oligodendroglioma,Gene-Disease
CDKN2A,Barrett's adenocarcinomas,Gene-Disease
CDKN2A,IDH-wildtype glioblastoma,Gene-Disease
CDKN2A,"Melanoma, tumors",Gene-Disease
CDKN2A,Hereditary melanoma,Gene-Disease
CDKN2A,Hepatocellular carcinoma,Gene-Disease
CDKN2A,Carcinomas,Gene-Disease
CDKN2A,Osteosarcoma,Gene-Disease
CDKN2A,Tumors,Gene-Disease
CDKN2A,Soft tissue metastasis,Gene-Disease
CDKN2A,Melanocytic neoplasms,Gene-Disease
CDKN2A,Lower grade astrocytomas,Gene-Disease
CDKN2A,Esophageal conditions,Gene-Disease
CDKN2A,High-grade astrocytomas,Gene-Disease
CDKN2A,Dermatofibrosarcoma protuberans,Gene-Disease
CDKN2A,Fibrosarcomatous DFSP,Gene-Disease
CDKN2A,Ependymoma,Gene-Disease
CDKN2A,FGFR-altered IGs,Gene-Disease
CDKN2A,Cholangiocarcinoma,Gene-Disease
CDKN2A,"Glioblastoma, Brain metastases",Gene-Disease
CDKN2A,ER+ breast cancer,Gene-Disease
CDKN2A,Serous ovarian tumor,Gene-Disease
CDKN2A,"Melanoma, GBM",Gene-Disease
CDKN2A,Breast cancer,Gene-Disease
CDKN2A,Prostate cancer,Gene-Disease
CDKN2A,Non-small cell lung cancer (NSCLC),Gene-Disease
CDKN2A,Pleural mesothelioma,Gene-Disease
CDKN2A,PDAC,Gene-Disease
CDKN2A,Lung adenocarcinoma,Gene-Disease
CDKN2A,PM,Gene-Disease
CDKN2A,Ewing's sarcoma,Gene-Disease
CDKN2A,Malignancies,Gene-Disease
CDKN2A,BRAF inhibitor-resistant tumor,Gene-Disease
CDKN2A,tumor,Gene-Disease
CDKN2A,Head and neck squamous cell carcinoma (HNSCC),Gene-Disease
CDKN2A,BCC,Gene-Disease
CDKN2A,Tumor,Gene-Disease
CDKN2A,Esophageal cancer,Gene-Disease
CDKN2A,MHPC,Gene-Disease
CDKN2A,Malignant astrocytomas,Gene-Disease
CDKN2A,GBM,Gene-Disease
CDKN2A,Familial human melanoma,Gene-Disease
CDKN2A,Ovarian cancer,Gene-Disease
CDKN2A,Gastric carcinoma,Gene-Disease
CDKN2A,Lung cancer,Gene-Disease
CDKN2A,"Atherosclerosis, Type 2 diabetes mellitus (T2DM)",Gene-Disease
CDKN2A,"T2DM, T2DM-CAD",Gene-Disease
CDKN2A,"Familial melanoma, Sporadic melanoma",Gene-Disease
CDKN2A,Non-small cell lung cancer,Gene-Disease
CDKN2A,Cutaneous malignant melanoma,Gene-Disease
CDKN2A,Esophageal carcinoma,Gene-Disease
CDKN2A,"Retinoblastoma, Osteosarcoma",Gene-Disease
CDKN2A,Skin tumors,Gene-Disease
CDKN2A,"WDLPS,DDLPS",Gene-Disease
CDKN2A,"gliomas, cancers",Gene-Disease
CDKN2A,MPM,Gene-Disease
CDKN2A,"Diffuse cerebral glioma, pleomorphic xanthoastrocytoma",Gene-Disease
CDKN2A,Diffuse astrocytic glioma,Gene-Disease
CDKN2A,Pleomorphic xanthoastrocytoma,Gene-Disease
CDKN2A,"Pleomorphic xanthoastrocytoma, diffuse astrocytic glioma, oligodendroglial glioma",Gene-Disease
CDKN2A,HPV-positive carcinoma,Gene-Disease
CDKN2A,Endometrioid-type endometrial carcinomas,Gene-Disease
CDKN2A,NPC,Gene-Disease
CDKN2A,MPNST,Gene-Disease
CDKN2A,Bladder tumors,Gene-Disease
CDKN2A,Human tumor cell lines,Gene-Disease
CDKN2A,Pituitary adenomas,Gene-Disease
CDKN2A,Tumours,Gene-Disease
CDKN2A,Pituitary tumours,Gene-Disease
CDKN2A,"Leukemia, many cancers",Gene-Disease
CDKN2A,Human cancers,Gene-Disease
CDKN2A,Meningeal hemangiopericytomas,Gene-Disease
CDKN2A,Chordoma,Gene-Disease
CDKN2A,T2DM-CAD,Gene-Disease
CDKN2A,"Atherosclerosis, T2DM",Gene-Disease
CDKN2A,T2DM,Gene-Disease
CDKN2A,Squamous cell carcinoma,Gene-Disease
CDKN2A,T-cell acute lymphoblastic leukemia,Gene-Disease
CDKN2A,"Human cancers, malignant melanoma",Gene-Disease
CDKN2A,ESOS,Gene-Disease
CDKN2A,Multiple myeloma,Gene-Disease
CDKN2A,"Pancreatic cancer, melanoma",Gene-Disease
CDKN2A,Sarcomas,Gene-Disease
CDKN2A,"ALL T, ATL, CML",Gene-Disease
CDKN2A,"Lung cancer, Colon cancer",Gene-Disease
CDKN2A,Mantle cell NHL,Gene-Disease
CDKN2A,"Neurofibromas, malignant peripheral nerve sheath tumors",Gene-Disease
CDKN2A,"Skin cancer, SCCs, BCCs",Gene-Disease
CDKN2A,Carcinogenesis,Gene-Disease
CDKN2A,Moyamoya disease (MMD),Gene-Disease
CDKN2A,"Familial melanoma, Tumours",Gene-Disease
CDKN2A,Cervical cancer,Gene-Disease
CDKN2A,Pancreatic ductal adenocarcinoma,Gene-Disease
CDKN2A,Gallbladder cancer,Gene-Disease
CDKN2A,SPA,Gene-Disease
CDKN2A,Ovarian tumors,Gene-Disease
CDKN2A,"Anaplastic astrocytomas, GBMs",Gene-Disease
CDKN2A,ESCC,Gene-Disease
CDKN2A,NSCLC,Gene-Disease
CDKN2A,HNSCC,Gene-Disease
CDKN2A,HCC,Gene-Disease
CDKN2A,Non-small cell lung carcinoma,Gene-Disease
CDKN2A,histiocytic sarcoma,Gene-Disease
CDKN2A,Head and neck squamous cell carcinoma,Gene-Disease
CDKN2A,Salivary gland tumors,Gene-Disease
CDKN2A,Nasopharyngeal carcinoma,Gene-Disease
CDKN2A,Esophageal squamous cell carcinoma,Gene-Disease
CDKN2A,Leptomeningeal metastases of lung adenocarcinoma,Gene-Disease
CDKN2A,Diffuse high-grade glioma (DHG),Gene-Disease
CDKN2A,Retinoblastoma,Gene-Disease
CDKN2A,"Tumor, normal skin tissue",Gene-Disease
CDKN2A,Plasmacytoma,Gene-Disease
CDKN2A,B cell non-Hodgkin's lymphoma (B-NHL),Gene-Disease
CDKN2A,Various tumor types,Gene-Disease
CDKN2A,"Melanoma, Pancreatic cancer",Gene-Disease
CDKN2A,"Liposarcoma, lipoma, liponecrosis",Gene-Disease
CDKN2A,Liposarcoma,Gene-Disease
CDKN2A,Basal cell carcinoma,Gene-Disease
CDKN2A,Prostate carcinoma,Gene-Disease
CDKN2A,Oligodendrogliomas,Gene-Disease
CDKN2A,Parathyroid adenomas,Gene-Disease
CDKN2A,Head and neck tumors,Gene-Disease
CDKN2A,"Liposarcoma, Lipoma",Gene-Disease
CDKN2A,FPA,Gene-Disease
CDKN2A,Metastatic melanoma,Gene-Disease
CDKN2A,"sPNET, GBM",Gene-Disease
CDKN2B,Tumors,Gene-Disease
CDKN2B,Hematopoietic malignancies,Gene-Disease
CDKN2B,Glioblastomas,Gene-Disease
CDKN2B,Solid tumors,Gene-Disease
CDKN2B,"ALL, CML, ATL",Gene-Disease
CDKN2B,ALL,Gene-Disease
CDKN2B,Human tumors,Gene-Disease
CDKN2B,Breast cancer,Gene-Disease
CDKN2B,Cancer,Gene-Disease
CDKN2B,Melanoma,Gene-Disease
