Source,Target,Pair
CDKN2B,Low-grade gliomas,Gene-Disease
CDKN2B,BTC,Gene-Disease
CDKN2B,Oral cancer,Gene-Disease
CDKN2B,Head and neck cancer,Gene-Disease
CDKN2B,"Malignant mesothelioma, Other cancers",Gene-Disease
CDKN2B,Anaplastic oligodendroglioma,Gene-Disease
CDKN2B,IDH-wildtype glioblastoma,Gene-Disease
CDKN2B,Fibrosarcomatous DFSP,Gene-Disease
CDKN2B,Prostate cancer,Gene-Disease
CDKN2B,Non-small cell lung cancer (NSCLC),Gene-Disease
CDKN2B,"Atherosclerosis, Type 2 diabetes mellitus (T2DM)",Gene-Disease
CDKN2B,"T2DM, T2DM-CAD",Gene-Disease
CDKN2B,Esophageal carcinoma,Gene-Disease
CDKN2B,Familial melanoma,Gene-Disease
CDKN2B,"Retinoblastoma, Osteosarcoma",Gene-Disease
CDKN2B,Skin tumors,Gene-Disease
CDKN2B,MPM,Gene-Disease
CDKN2B,Pleomorphic xanthoastrocytoma,Gene-Disease
CDKN2B,MPNST,Gene-Disease
CDKN2B,Human cancers,Gene-Disease
CDKN2B,T2DM-CAD,Gene-Disease
CDKN2B,"Atherosclerosis, T2DM",Gene-Disease
CDKN2B,T2DM,Gene-Disease
CDKN2B,T-cell acute lymphoblastic leukemia,Gene-Disease
CDKN2B,Multiple myeloma,Gene-Disease
CDKN2B,"ALL T, ATL, CML",Gene-Disease
CDKN2B,"Lung cancer, Colon cancer",Gene-Disease
CDKN2B,Glioma,Gene-Disease
CDKN2B,Mantle cell NHL,Gene-Disease
CDKN2B,Colorectal cancer,Gene-Disease
CDKN2B,Non-small cell lung cancer,Gene-Disease
CDKN2B,NSCLC,Gene-Disease
CDKN2B,Salivary gland tumors,Gene-Disease
CDKN2B,Diffuse high-grade glioma (DHG),Gene-Disease
CDKN2B,Tumor,Gene-Disease
CDKN2B,B cell non-Hodgkin's lymphoma (B-NHL),Gene-Disease
CDKN2B,Various tumor types,Gene-Disease
CDKN2B,Malignant melanoma,Gene-Disease
CDKN2B,Prostate carcinoma,Gene-Disease
CDKN2B,Parathyroid adenomas,Gene-Disease
E2F1,Sarcoma,Gene-Disease
E2F1,Glioma,Gene-Disease
E2F1,Breast cancer,Gene-Disease
E2F1,Hepatocellular carcinoma,Gene-Disease
E2F1,Tumors,Gene-Disease
E2F1,MHPCs,Gene-Disease
E2F1,Multiple myeloma,Gene-Disease
EGFR,NSCLC,Gene-Disease
EGFR,Seminal vesicle tumors,Gene-Disease
EGFR,"Astrocytic tumor, Oligodendroglial tumor",Gene-Disease
EGFR,"Primary lesion, Metastatic lesion",Gene-Disease
EGFR,Multiple cancer types,Gene-Disease
EGFR,Acquired resistance,Gene-Disease
EGFR,"GBM, GS",Gene-Disease
EGFR,IDH-wildtype glioblastoma,Gene-Disease
EGFR,GBM,Gene-Disease
EGFR,Glioblastomas,Gene-Disease
EGFR,Glioblastoma multiforme (GBM),Gene-Disease
EGFR,Tumors,Gene-Disease
EGFR,Penile squamous cell carcinoma,Gene-Disease
EGFR,PMA,Gene-Disease
EGFR,Metaplastic breast carcinoma,Gene-Disease
EGFR,Hepatoid adenocarcinoma of the stomach (HAS),Gene-Disease
EGFR,Disease progression,Gene-Disease
EGFR,NAC-resistant tumors,Gene-Disease
EGFR,Nasopharyngeal carcinoma,Gene-Disease
EGFR,NPC (nasopharyngeal carcinoma),Gene-Disease
EGFR,Non-small cell lung cancer,Gene-Disease
EGFR,Squamous cell lung cancer,Gene-Disease
EGFR,EGFR-amplified tumours,Gene-Disease
EGFR,Breast cancer,Gene-Disease
EGFR,Non-small cell lung cancer (NSCLC),Gene-Disease
EGFR,Lung cancer,Gene-Disease
EGFR,Amplified tumors,Gene-Disease
EGFR,Lung adenocarcinoma (LUAD),Gene-Disease
EGFR,Advanced non-small cell lung cancer (NSCLC),Gene-Disease
EGFR,Glioblastoma,Gene-Disease
EGFR,Brain cancer,Gene-Disease
EGFR,"Diffuse cerebral glioma, pleomorphic xanthoastrocytoma",Gene-Disease
EGFR,Diffuse astrocytic glioma,Gene-Disease
EGFR,"Pleomorphic xanthoastrocytoma, diffuse astrocytic glioma, oligodendroglial glioma",Gene-Disease
EGFR,Gliosarcoma,Gene-Disease
EGFR,"Gliosarcoma, glioblastoma",Gene-Disease
EGFR,Tumor,Gene-Disease
EGFR,Pituitary neuroendocrine tumors (PitNET),Gene-Disease
EGFR,Cervical carcinoma,Gene-Disease
EGFR,Epithelial cancers,Gene-Disease
EGFR,HCC,Gene-Disease
EGFR,Chordoma,Gene-Disease
EGFR,PeSCCA,Gene-Disease
EGFR,Desmoplastic small round cell tumor (DSRCT),Gene-Disease
EGFR,Lung metastases (LM),Gene-Disease
EGFR,Metastatic breast cancer (mBC),Gene-Disease
EGFR,Cancer,Gene-Disease
EGFR,Hepatocellular carcinoma (HCC),Gene-Disease
EGFR,METex 14 alteration,Gene-Disease
EGFR,Lung metastases,Gene-Disease
EGFR,Pleomorphic xanthoastrocytoma,Gene-Disease
ERBB2,Metastatic breast cancer,Gene-Disease
ERBB2,Breast cancer,Gene-Disease
ERBB2,BTC,Gene-Disease
ERBB2,Cancer,Gene-Disease
ERBB2,Hepatoid adenocarcinoma of the stomach (HAS),Gene-Disease
ERBB2,HER2-positive breast cancer,Gene-Disease
ERBB2,"ER-positive, HER2-negative breast cancer",Gene-Disease
ERBB2,Triple negative breast cancer,Gene-Disease
ERBB2,Endocrine resistance,Gene-Disease
ERBB2,NAC-resistant tumors,Gene-Disease
ERBB2,"Hormone receptor-positive, HER2-negative breast cancer",Gene-Disease
ERBB2,Advanced breast cancer,Gene-Disease
ERBB2,metastatic breast cancer,Gene-Disease
ERBB2,Disease,Gene-Disease
ERBB2,Metastatic extramammary Paget's disease,Gene-Disease
ERBB2,Advanced-stage breast cancer,Gene-Disease
ERBB2,Advanced non-small cell lung cancer (NSCLC),Gene-Disease
ERBB2,Non-small cell lung cancer (NSCLC),Gene-Disease
ERBB2,HER2-low tumors,Gene-Disease
ERBB2,Glioblastoma,Gene-Disease
ERBB2,Advanced/metastatic breast cancer,Gene-Disease
ERBB2,HCC,Gene-Disease
ERBB2,HR+/HER2+ metastatic breast cancer,Gene-Disease
ERBB2,Metastatic HR+/HER2- breast cancer,Gene-Disease
ERBB2,Early breast cancer,Gene-Disease
ERBB2,Metastatic breast cancer (MBC),Gene-Disease
ERBB2,HER2-low breast cancer,Gene-Disease
ERBB2,Metastatic breast cancer (mBC),Gene-Disease
ERBB2,HER2+ advanced breast cancer,Gene-Disease
ERBB2,HER2-positive advanced breast cancer,Gene-Disease
ERBB2,HER2-positive/HR-positive advanced breast cancer,Gene-Disease
ERBB2,Cancers,Gene-Disease
ERBB2,Triple-negative breast cancer,Gene-Disease
ERBB2,Stage III and IV tumors,Gene-Disease
ESR1,Breast cancer,Gene-Disease
ESR1,Metastatic breast cancer,Gene-Disease
ESR1,Estrogen receptor-positive metastatic breast cancer,Gene-Disease
ESR1,ER-positive breast cancer,Gene-Disease
ESR1,ER+ xenografts,Gene-Disease
ESR1,ER+/RB-deficient xenografts,Gene-Disease
ESR1,"Advanced estrogen receptor-positive, HER2-negative breast cancer",Gene-Disease
ESR1,Peritoneal metastasis,Gene-Disease
ESR1,"Breast cancer, gastric cancer with bone metastasis",Gene-Disease
ESR1,Cancer,Gene-Disease
ESR1,ER+ breast cancer,Gene-Disease
ESR1,Advanced breast cancer,Gene-Disease
ESR1,Endocrine resistance,Gene-Disease
ESR1,ER伪+ breast cancer,Gene-Disease
ESR1,breast cancer,Gene-Disease
ESR1,tumors,Gene-Disease
ESR1,Tumors,Gene-Disease
ESR1,HR+/HER2- metastatic breast cancer,Gene-Disease
ESR1,Metastatic ER+ breast cancer,Gene-Disease
ESR1,Advanced/metastatic breast cancer,Gene-Disease
ESR1,HR+ metastatic breast cancer,Gene-Disease
ESR1,HR+/HER2+ metastatic breast cancer,Gene-Disease
ESR1,luminal androgen receptor (LAR) breast cancer,Gene-Disease
ESR1,Metastatic disease,Gene-Disease
ESR1,Endocrine therapy-resistant ESR1(+) breast cancer,Gene-Disease
ESR1,"ER-positive, HER2-negative metastatic breast cancer",Gene-Disease
ESR1,"ER-positive, HER2-negative breast cancer",Gene-Disease
ESR1,"ER-positive, HER2-positive breast cancer",Gene-Disease
ESR1,ERα-positive breast cancer,Gene-Disease
ESR1,Resistant tumors,Gene-Disease
ESR1,Advanced cancers,Gene-Disease
ESR1,Triple-negative breast cancer,Gene-Disease
ESR1,Estrogen receptor-positive breast tumors,Gene-Disease
ESR1,Estrogen receptor-positive breast cancer,Gene-Disease
ESR1,Estrogen-accelerating PDX,Gene-Disease
ESR1,Breast tumors,Gene-Disease
MDM2,"Well-differentiated liposarcoma, Dedifferentiated liposarcoma",Gene-Disease
MDM2,Liposarcomas,Gene-Disease
MDM2,"Adipocytic tumors, atypical lipomatous tumors/well-differentiated liposarcomas (ALT/WDL)",Gene-Disease
MDM2,"ALT/WDL, DDL",Gene-Disease
MDM2,Dedifferentiated liposarcoma,Gene-Disease
MDM2,Lipomatous tumor,Gene-Disease
MDM2,DDLPS,Gene-Disease
MDM2,"ALT/WDL, DDLPS",Gene-Disease
MDM2,Low-grade central osteosarcoma,Gene-Disease
MDM2,"Osteosarcoma, Liposarcoma",Gene-Disease
MDM2,ALT,Gene-Disease
MDM2,Malignant melanoma,Gene-Disease
MDM2,MPLPS,Gene-Disease
MDM2,DLOS,Gene-Disease
MDM2,Neoplastic tissue,Gene-Disease
MDM2,Osteosarcoma,Gene-Disease
MDM2,"Atypical lipomatous tumor, Well-differentiated liposarcoma",Gene-Disease
MDM2,Tumor,Gene-Disease
MDM2,Liposarcoma,Gene-Disease
MDM2,"Liposarcoma, Lipoma",Gene-Disease
MDM2,"WDLPS, DDLPS",Gene-Disease
MDM2,Rhabdomyosarcoma,Gene-Disease
MDM2,Salivary gland tumor,Gene-Disease
MDM2,"Lung adenocarcinoma, liposarcoma",Gene-Disease
MDM2,Fatty tumors,Gene-Disease
MDM2,GBM,Gene-Disease
MDM2,Well-differentiated and dedifferentiated liposarcomas,Gene-Disease
MDM2,Malignant gliomas,Gene-Disease
MDM2,Metastases to pelvis and spine,Gene-Disease
MDM2,Alveolar subtype,Gene-Disease
MDM2,"Well-differentiated liposarcomas, Dedifferentiated liposarcomas",Gene-Disease
MDM2,Malignant fibrous histiocytoma,Gene-Disease
MDM2,Neuroblastoma,Gene-Disease
MDM2,Tumors,Gene-Disease
MDM2,Sclerosing liposarcoma,Gene-Disease
MDM2,Pleural tumor,Gene-Disease
MDM2,"Glioblastoma, low-grade astrocytoma, anaplastic astrocytoma",Gene-Disease
MDM2,Glioblastoma,Gene-Disease
MDM2,Glioma,Gene-Disease
MDM2,"Spindle cell lipoma, pleomorphic lipoma",Gene-Disease
MDM2,Lipoma,Gene-Disease
MDM2,ARMS,Gene-Disease
MDM2,ERMS,Gene-Disease
MDM2,RP sarcoma,Gene-Disease
MDM2,Soft tissue sarcoma,Gene-Disease
MDM2,Sarcomatoid CRCC,Gene-Disease
MDM2,Uterine Adenosarcomas,Gene-Disease
MDM2,Cancer,Gene-Disease
MDM2,Mantle cell lymphoma,Gene-Disease
MDM2,"Liposarcoma (WDLPS, DDLPS)",Gene-Disease
MDM2,Acral melanoma (AM),Gene-Disease
MDM2,Glioblastomas,Gene-Disease
MDM2,Sarcomas,Gene-Disease
MDM2,Melanoma,Gene-Disease
MDM2,Liposarcomatous differentiation,Gene-Disease
MDM2,GBM (glioblastoma),Gene-Disease
MDM2,Parosteal osteosarcoma,Gene-Disease
MDM2,PMA,Gene-Disease
MDM2,FGFR-altered IGs,Gene-Disease
MDM2,Intimal sarcoma,Gene-Disease
MDM2,Hepatoid adenocarcinoma of the stomach (HAS),Gene-Disease
MDM2,"Melanoma, GBM",Gene-Disease
MDM2,"WDLPS,DDLPS",Gene-Disease
MDM2,Atypical spindle cell/pleomorphic lipomatous tumor,Gene-Disease
MDM2,IS,Gene-Disease
MDM2,"Diffuse cerebral glioma, pleomorphic xanthoastrocytoma",Gene-Disease
MDM2,Diffuse astrocytic glioma,Gene-Disease
MDM2,"Pleomorphic xanthoastrocytoma, diffuse astrocytic glioma, oligodendroglial glioma",Gene-Disease
MDM2,Gliosarcoma,Gene-Disease
MDM2,"Gliosarcoma, glioblastoma",Gene-Disease
MDM2,MPNST,Gene-Disease
MDM2,Undifferentiated sarcoma,Gene-Disease
MDM2,ALT/WDL,Gene-Disease
MDM2,Benign lipomatous lesions,Gene-Disease
MDM2,"UHGPS,DDL",Gene-Disease
MDM2,Malignant lipomatous tumors,Gene-Disease
MDM2,UHGPS,Gene-Disease
MDM2,"Lipoma, ALT/WDL",Gene-Disease
MDM2,"Retroperitoneal pleomorphic MFH, dedifferentiated liposarcoma",Gene-Disease
MDM2,Inflammatory MFH,Gene-Disease
MDM2,POS,Gene-Disease
MDM2,"Atypical lipomatous tumor, well-differentiated liposarcoma, dedifferentiated liposarcoma",Gene-Disease
MDM2,"Soft tissue sarcomas, leiomyosarcomas (LMS), alveolar rhabdomyosarcomas (ARMS), embryonal rhabdomyosarcomas (ERMS)",Gene-Disease
MDM2,UPSC sarcomas,Gene-Disease
MDM2,Primary lesion,Gene-Disease
MDM2,Soft tissue sarcomas,Gene-Disease
MDM2,Mesenchymal tumors,Gene-Disease
MDM2,APLT,Gene-Disease
MDM2,Dedifferentiated osteosarcoma,Gene-Disease
MDM2,"WDLS, DDLS",Gene-Disease
MDM2,Sarcoma,Gene-Disease
MDM2,Well-differentiated spindle cell liposarcoma,Gene-Disease
MDM2,"WDL,DDL",Gene-Disease
MDM2,"UHGPS, DDLS",Gene-Disease
MDM2,Inflammatory myofibroblastic tumor,Gene-Disease
MDM2,p-SCs,Gene-Disease
MDM2,Lipomatous neoplasms,Gene-Disease
MDM2,Atypical lipomatous tumor,Gene-Disease
MDM2,"Follicle center lymphomas, extranodal marginal zone lymphomas, mantle cell lymphomas",Gene-Disease
MDM2,Cervical carcinoma,Gene-Disease
MDM2,Cancers,Gene-Disease
MDM2,PCNSL,Gene-Disease
MDM2,Anaplastic oligodendrogliomas,Gene-Disease
MDM2,METex 14 alteration,Gene-Disease
MDM2,Glioblastoma (GB),Gene-Disease
MDM2,Breast cancer,Gene-Disease
MDM2,Triple negative cancer,Gene-Disease
MDM2,Luminal A cancer,Gene-Disease
MDM2,Solid tumors,Gene-Disease
MDM2,Bone tumor,Gene-Disease
MDM2,"ALT, parosteal osteosarcoma",Gene-Disease
MDM2,"DDLPS,PLPS",Gene-Disease
MDM2,Ossifying fibroma (OF),Gene-Disease
MDM2,Juvenile ossifying fibroma (JOF),Gene-Disease
MDM2,Pleomorphic xanthoastrocytoma,Gene-Disease
MTOR,Malignant peripheral nerve sheath tumors,Gene-Disease
MTOR,Triple negative breast cancer,Gene-Disease
MTOR,"HR+, HER2- breast cancer",Gene-Disease
MTOR,GBM,Gene-Disease
MTOR,Resistance in hormone-receptor-positive breast cancer,Gene-Disease
MTOR,HR+/HER2- breast cancer,Gene-Disease
MTOR,Advanced ER+ breast cancer,Gene-Disease
MTOR,Endocrine resistance,Gene-Disease
MTOR,Endocrine-resistant breast cancer,Gene-Disease
MTOR,Breast cancer,Gene-Disease
MTOR,Hepatocellular carcinoma,Gene-Disease
MTOR,PEComa,Gene-Disease
MTOR,Myeloproliferative neoplasms (MPN),Gene-Disease
MTOR,Cancer,Gene-Disease
MTOR,Neuroendocrine tumors (NETs),Gene-Disease
MTOR,Hormone-resistant tumors,Gene-Disease
MTOR,Non-clear cell RCC,Gene-Disease
MTOR,ICC,Gene-Disease
MTOR,HCC,Gene-Disease
MTOR,Head and neck squamous cell carcinoma (HNSCC),Gene-Disease
MTOR,Tumor,Gene-Disease
MTOR,HNSCC,Gene-Disease
MTOR,Advanced breast cancer,Gene-Disease
MTOR,Osteosarcoma,Gene-Disease
MTOR,Metastatic breast cancer,Gene-Disease
MTOR,Recurrent glioblastoma,Gene-Disease
MTOR,Luminal ABC,Gene-Disease
MTOR,"Dedifferentiated liposarcoma (DDL), leiomyosarcoma (LMS)",Gene-Disease
MTOR,histiocytic sarcoma,Gene-Disease
MTOR,Recurrent tumors,Gene-Disease
MTOR,Hormone receptor-positive (HR+) breast cancer,Gene-Disease
MTOR,ER(+)/FGFR1(+) metastatic breast cancer,Gene-Disease
MTOR,ER+ metastatic breast cancer,Gene-Disease
MTOR,HR+ ABC,Gene-Disease
MTOR,Melanoma,Gene-Disease
MTOR,"Oral cancer, OSCC",Gene-Disease
MTOR,Metastatic NPC,Gene-Disease
MTOR,Gynecologic cancers,Gene-Disease
MTOR,metastatic breast cancer,Gene-Disease
MTOR,"Breast cancer,RAS-mutant cancers",Gene-Disease
MYC,Osteosarcoma,Gene-Disease
MYC,Metastatic colorectal cancer,Gene-Disease
MYC,Lymphoproliferative disorder (LPD),Gene-Disease
MYC,Pediatric medulloblastoma (MB),Gene-Disease
MYC,Adult tumors,Gene-Disease
MYC,Cancer,Gene-Disease
MYC,Metaplastic breast carcinoma,Gene-Disease
MYC,Ovarian cancer,Gene-Disease
MYC,Breast cancer,Gene-Disease
MYC,Mammary gland tumors,Gene-Disease
MYC,Polycystic kidney disease,Gene-Disease
MYC,Hepatocarcinogenesis,Gene-Disease
MYC,Liver tumors,Gene-Disease
MYC,HCC,Gene-Disease
MYC,Medulloblastoma (Group3/4),Gene-Disease
MYC,Lung adenocarcinoma,Gene-Disease
MYC,Tumor,Gene-Disease
MYC,PCNSL,Gene-Disease
MYC,Burkitt lymphoma,Gene-Disease
MYC,Triple-negative breast cancer (TNBC),Gene-Disease
MYC,BRCA(mut)/TNBC,Gene-Disease
NF1,Acral melanoma,Gene-Disease
NF1,Acquired resistance,Gene-Disease
NF1,Soft tissue sarcoma,Gene-Disease
NF1,IDH-wildtype glioblastoma,Gene-Disease
NF1,Malignant peripheral nerve sheath tumors (MPNSTs),Gene-Disease
NF1,ESOS,Gene-Disease
NF1,Cancer,Gene-Disease
NF1,AM,Gene-Disease
NF1,histiocytic sarcoma,Gene-Disease
NF1,CA-Para,Gene-Disease
NF1,CA-Pheo,Gene-Disease
NF1,NF1-associated PNF,Gene-Disease
NF1,Liposarcoma (LPS),Gene-Disease
NRAS,Melanoma,Gene-Disease
NRAS,Malignant melanoma,Gene-Disease
NRAS,Acral melanocytic nevus,Gene-Disease
NRAS,Acral melanoma,Gene-Disease
NRAS,Acute Myeloid Leukemia (AML),Gene-Disease
NRAS,Metastatic melanoma,Gene-Disease
NRAS,Solid tumors,Gene-Disease
NRAS,NRAS-mutant melanoma,Gene-Disease
NRAS,Cancer,Gene-Disease
NRAS,Low-grade serous ovarian cancer (LGSC),Gene-Disease
NRAS,AM,Gene-Disease
NRAS,histiocytic sarcoma,Gene-Disease
NRAS,"Melanoma, Cancer",Gene-Disease
NRAS,EAs,Gene-Disease
NRAS,Melanocytic tumors,Gene-Disease
NRAS,Non-invasive follicular thyroid neoplasm,Gene-Disease
PIK3CA,Breast cancer,Gene-Disease
PIK3CA,CA,Gene-Disease
PIK3CA,IDH-wildtype glioblastoma,Gene-Disease
PIK3CA,Metaplastic breast carcinoma,Gene-Disease
PIK3CA,Metastatic breast cancer,Gene-Disease
PIK3CA,Triple negative breast cancer,Gene-Disease
PIK3CA,Advanced breast cancer,Gene-Disease
PIK3CA,Cancer,Gene-Disease
PIK3CA,AML,Gene-Disease
PIK3CA,NSCLC,Gene-Disease
PIK3CA,PIK3CA-mutated advanced breast cancer,Gene-Disease
PIK3CA,Advanced ER+ breast cancer,Gene-Disease
PIK3CA,Endocrine resistance,Gene-Disease
PIK3CA,Endocrine-resistant breast cancer,Gene-Disease
PIK3CA,Melanoma,Gene-Disease
PIK3CA,Squamous cell lung cancer,Gene-Disease
PIK3CA,Hepatocellular carcinoma,Gene-Disease
PIK3CA,Myeloproliferative neoplasms (MPN),Gene-Disease
PIK3CA,Peritoneal metastasis,Gene-Disease
PIK3CA,Metastasis,Gene-Disease
PIK3CA,Hormone-resistant tumors,Gene-Disease
PIK3CA,Colorectal cancer,Gene-Disease
PIK3CA,"ER-positive, HER2-negative metastatic breast cancer",Gene-Disease
PIK3CA,Diabetes,Gene-Disease
PIK3CA,Lung squamous cell carcinoma (LUSC),Gene-Disease
PIK3CA,NRAS-mutant melanoma,Gene-Disease
PIK3CA,Breast tumors,Gene-Disease
PIK3CA,HER2-negative/HR-positive breast cancer,Gene-Disease
PIK3CA,non-IBC,Gene-Disease
PIK3CA,Tumor,Gene-Disease
PIK3CA,HPV(neg) HNSCC,Gene-Disease
PIK3CA,HCC,Gene-Disease
PIK3CA,Recurrent glioblastoma,Gene-Disease
PIK3CA,Luminal ABC,Gene-Disease
PIK3CA,histiocytic sarcoma,Gene-Disease
PIK3CA,Salivary gland tumors,Gene-Disease
PIK3CA,Recurrent tumors,Gene-Disease
PIK3CA,NRAS melanoma,Gene-Disease
PIK3CA,Gynecologic cancers,Gene-Disease
PIK3CA,Carcinomas,Gene-Disease
PTEN,PFS,Gene-Disease
PTEN,Malignant melanoma,Gene-Disease
PTEN,GBM,Gene-Disease
PTEN,IDH-wildtype glioblastoma,Gene-Disease
PTEN,High-grade astrocytic tumors,Gene-Disease
PTEN,Melanoma,Gene-Disease
PTEN,FGFR-altered IGs,Gene-Disease
PTEN,Metaplastic breast carcinoma,Gene-Disease
PTEN,Breast cancer,Gene-Disease
PTEN,Glioblastoma,Gene-Disease
PTEN,Cancer,Gene-Disease
PTEN,Tumor,Gene-Disease
PTEN,Gliosarcoma,Gene-Disease
PTEN,Prostate cancer,Gene-Disease
PTEN,Chordoma,Gene-Disease
PTEN,Liposarcoma,Gene-Disease
PTEN,HPV(U) tumors,Gene-Disease
PTEN,Breast tumors,Gene-Disease
PTEN,HCC,Gene-Disease
PTEN,MBC,Gene-Disease
PTEN,histiocytic sarcoma,Gene-Disease
PTEN,Salivary gland tumors,Gene-Disease
PTEN,Glioblastoma (GB),Gene-Disease
PTEN,CA-Para,Gene-Disease
RB1,Sarcoma,Gene-Disease
RB1,Seminal vesicle tumors,Gene-Disease
RB1,Mesothelioma,Gene-Disease
RB1,Low-grade central osteosarcoma,Gene-Disease
RB1,Osteosarcoma,Gene-Disease
RB1,Multiple myeloma (MM),Gene-Disease
RB1,Cancer,Gene-Disease
RB1,"Glioblastoma, low-grade astrocytoma, anaplastic astrocytoma",Gene-Disease
RB1,Glioblastoma,Gene-Disease
RB1,Glioma,Gene-Disease
RB1,Retinoblastoma,Gene-Disease
RB1,Lymphoid tumors,Gene-Disease
RB1,Melanoma,Gene-Disease
RB1,Metastases,Gene-Disease
RB1,Pituitary adenomas,Gene-Disease
RB1,Esophageal conditions,Gene-Disease
RB1,High-grade astrocytomas,Gene-Disease
RB1,Tumors,Gene-Disease
RB1,"Glioblastoma, Brain metastases",Gene-Disease
RB1,Glioblastoma (GBM),Gene-Disease
RB1,HHT,Gene-Disease
RB1,Triple negative breast cancer,Gene-Disease
RB1,Breast cancer,Gene-Disease
RB1,ER+ breast cancer,Gene-Disease
RB1,Solid tumors,Gene-Disease
RB1,Rb-deficient tumors,Gene-Disease
RB1,ER(+) breast cancer,Gene-Disease
RB1,"Estrogen receptor-positive, HER2-positive breast cancer",Gene-Disease
RB1,CRPC,Gene-Disease
RB1,Pleural mesothelioma,Gene-Disease
RB1,Hepatocellular carcinoma (HCC),Gene-Disease
RB1,MPNST,Gene-Disease
RB1,Diet-induced obesity (DIO),Gene-Disease
RB1,TNBC,Gene-Disease
RB1,tumor,Gene-Disease
RB1,Atypical meningiomas,Gene-Disease
RB1,Esophageal cancer,Gene-Disease
RB1,Malignant astrocytomas,Gene-Disease
RB1,GBM,Gene-Disease
RB1,Human cancers,Gene-Disease
RB1,Liver tumor,Gene-Disease
RB1,"Lung cancer, Colon cancer",Gene-Disease
RB1,Tumor,Gene-Disease
RB1,Metastatic breast cancer,Gene-Disease
