Source,Target,Pair
RB1,Ovarian cancer,Gene-Disease
RB1,Gastric carcinoma,Gene-Disease
RB1,Hepatocellular carcinoma,Gene-Disease
RB1,Esophageal squamous cell carcinoma,Gene-Disease
RB1,Canine mammary carcinoma,Gene-Disease
RB1,"Retinoblastoma, Osteosarcoma",Gene-Disease
RB1,"WDLPS,DDLPS",Gene-Disease
RB1,osteosarcoma,Gene-Disease
RB1,Atypical spindle cell/pleomorphic lipomatous tumor,Gene-Disease
RB1,Endometrial carcinomas,Gene-Disease
RB1,Squamous Cell Carcinomas,Gene-Disease
RB1,Meningeal hemangiopericytomas,Gene-Disease
RB1,MHPCs,Gene-Disease
RB1,Synovial sarcoma,Gene-Disease
RB1,"Spindle cell lipoma, pleomorphic lipoma",Gene-Disease
RB1,Spindle cell lipoma,Gene-Disease
RB1,Liposarcoma,Gene-Disease
RB1,Childhood retinoblastoma,Gene-Disease
RB1,Bilateral retinoblastoma,Gene-Disease
RB1,Sarcomas,Gene-Disease
RB1,Human tumors,Gene-Disease
RB1,Lung adenocarcinoma,Gene-Disease
RB1,Cervical cancer,Gene-Disease
RB1,Multiple myeloma,Gene-Disease
RB1,Pancreatic ductal adenocarcinoma,Gene-Disease
RB1,Mantle cell lymphoma,Gene-Disease
RB1,SPA,Gene-Disease
RB1,"Breast cancer, melanoma, leukemia, lymphoma",Gene-Disease
RB1,Triple-negative breast cancer,Gene-Disease
RB1,RB1-deficient tumors,Gene-Disease
RB1,HR+ breast cancer,Gene-Disease
RB1,cancers,Gene-Disease
RB1,Neuroendocrine tumors (NETs),Gene-Disease
RB1,PV,Gene-Disease
RB1,HCC,Gene-Disease
RB1,Glioblastoma (GB),Gene-Disease
RB1,HUC senescence,Gene-Disease
RB1,SCLC,Gene-Disease
RB1,Endocrine therapy resistance,Gene-Disease
RB1,Triple-negative breast cancer (TNBC),Gene-Disease
RB1,FPA,Gene-Disease
TP53,Adenocarcinomas,Gene-Disease
TP53,Uterine leiomyosarcoma,Gene-Disease
TP53,Osteosarcoma,Gene-Disease
TP53,Tumor,Gene-Disease
TP53,Melanoma,Gene-Disease
TP53,Multiple myeloma (MM),Gene-Disease
TP53,"Astrocytic tumor, Oligodendroglial tumor",Gene-Disease
TP53,"Primary lesion, Metastatic lesion",Gene-Disease
TP53,Thymic lymphomas,Gene-Disease
TP53,Cancer,Gene-Disease
TP53,Anaplasia,Gene-Disease
TP53,"Glioblastoma, low-grade astrocytoma, anaplastic astrocytoma",Gene-Disease
TP53,Glioblastoma,Gene-Disease
TP53,Glioma,Gene-Disease
TP53,Lymphoid tumors,Gene-Disease
TP53,Acute Myeloid Leukemia (AML),Gene-Disease
TP53,Soft tissue sarcoma,Gene-Disease
TP53,IDH-wildtype glioblastoma,Gene-Disease
TP53,Hepatocellular carcinoma,Gene-Disease
TP53,B-cell neoplasms,Gene-Disease
TP53,Nasal mixed exocrine-neuroendocrine carcinoma,Gene-Disease
TP53,GBM,Gene-Disease
TP53,FGFR-altered IGs,Gene-Disease
TP53,Tumors,Gene-Disease
TP53,DPedHGG,Gene-Disease
TP53,Metaplastic breast carcinoma,Gene-Disease
TP53,ER+ breast cancer,Gene-Disease
TP53,Medulloblastoma,Gene-Disease
TP53,Atypical meningiomas,Gene-Disease
TP53,Prostate cancer,Gene-Disease
TP53,"WDLPS,DDLPS",Gene-Disease
TP53,"sPNET, GBM",Gene-Disease
TP53,"GBM, sPNET",Gene-Disease
TP53,"Diffuse cerebral glioma, pleomorphic xanthoastrocytoma",Gene-Disease
TP53,Diffuse astrocytic glioma,Gene-Disease
TP53,"Pleomorphic xanthoastrocytoma, diffuse astrocytic glioma, oligodendroglial glioma",Gene-Disease
TP53,Metastatic breast cancer,Gene-Disease
TP53,Endometrial carcinomas,Gene-Disease
TP53,Endometrioid-type endometrial carcinomas,Gene-Disease
TP53,Colon Cancer,Gene-Disease
TP53,Human cancers,Gene-Disease
TP53,Liposarcoma,Gene-Disease
TP53,HR+/HER2- metastatic breast cancer,Gene-Disease
TP53,HPV(U) tumors,Gene-Disease
TP53,IBC,Gene-Disease
TP53,OSCC,Gene-Disease
TP53,"Skin cancer, SCCs, BCCs",Gene-Disease
TP53,Senescence,Gene-Disease
TP53,Astrocytomas,Gene-Disease
TP53,Malignancies,Gene-Disease
TP53,Thick melanoma,Gene-Disease
TP53,ESCC,Gene-Disease
TP53,Ovarian cancer,Gene-Disease
TP53,NSCLC,Gene-Disease
TP53,HCC,Gene-Disease
TP53,Breast cancer,Gene-Disease
TP53,Anaplastic oligodendrogliomas,Gene-Disease
TP53,Melanocytic tumors,Gene-Disease
TP53,Glioblastomas,Gene-Disease
TP53,Glioblastoma (GB),Gene-Disease
TP53,HUC senescence,Gene-Disease
TP53,Li-Fraumeni syndrome,Gene-Disease
TP53,Marginal zone lymphoma/Splenic B-cell lymphoma,Gene-Disease
TP53,FPA,Gene-Disease
TP53,High-grade glioma,Gene-Disease
TP53,Ossifying fibroma (OF),Gene-Disease
TP53,Pleomorphic xanthoastrocytoma,Gene-Disease
AKT1,Palbociclib,Gene-Drugs
AKT1,SBX,Gene-Drugs
AKT1,PL,Gene-Drugs
AKT1,Notopterol,Gene-Drugs
AKT1,Capivasertib,Gene-Drugs
AKT1,"Capivasertib, anti-HER2 agents, endocrine treatment",Gene-Drugs
BRAF,"Cobimetinib, ALK inhibitors",Gene-Drugs
BRAF,"MEK inhibitors, CDK4/6 inhibitors",Gene-Drugs
BRAF,"CDK4/6 inhibitors, BRAF/MEK-targeting agents",Gene-Drugs
BRAF,"CDK4/6 inhibitors, BRAF inhibitors, MEK inhibitors",Gene-Drugs
BRAF,"BRAF inhibitors, MEK inhibitors, CDK4/6 inhibitors",Gene-Drugs
BRAF,CDK4/6 inhibitors,Gene-Drugs
BRAF,Vemurafenib,Gene-Drugs
BRAF,GLS1i,Gene-Drugs
BRAF,anti-PD-1,Gene-Drugs
BRAF,vemurafenib,Gene-Drugs
BRAF,Tyrosine kinase inhibitors,Gene-Drugs
BRAF,BRAF inhibitors,Gene-Drugs
BRAF,"Trametinib, BKM120, LEE011",Gene-Drugs
BRAF,"Palbociclib,BRAF inhibitors,MEK inhibitors",Gene-Drugs
BRAF,"Encorafenib, Cetuximab, CDK4/6 inhibitors",Gene-Drugs
BRAF,MEK inhibitors,Gene-Drugs
BRAF,"Trametinib, Dabrafenib",Gene-Drugs
BRAF,"Pembrolizumab, Durvalumab, Atezolizumab, BRAF inhibitors, MEK inhibitors",Gene-Drugs
BRAF,"mTOR inhibitors, BRAF inhibitors, MEK inhibitors",Gene-Drugs
BRAF,"BRAF inhibitors, MEK inhibitors",Gene-Drugs
CCND1,CDK4/6 inhibitors,Gene-Drugs
CCND1,NMBA,Gene-Drugs
CCND1,"Abemaciclib, Ribociclib, Lenvatinib",Gene-Drugs
CCND1,"letrozole, everolimus, palbociclib",Gene-Drugs
CCND1,GRN163L,Gene-Drugs
CCND1,"Palbociclib,Abemaciclib",Gene-Drugs
CCND1,ZEN-3694,Gene-Drugs
CCND1,LEE011,Gene-Drugs
CCND1,Alcohol,Gene-Drugs
CCND1,Mannoprotein,Gene-Drugs
CCND1,PI3K/mTOR inhibitors,Gene-Drugs
CCND1,Quercetin,Gene-Drugs
CCND1,Bortezomib (BTZ),Gene-Drugs
CCND1,SB431542,Gene-Drugs
CCND1,PD-0332991,Gene-Drugs
CCND1,3-carene,Gene-Drugs
CCND1,Erufosine,Gene-Drugs
CCND1,LPS,Gene-Drugs
CCND1,Luteoloside,Gene-Drugs
CCND1,"CTL, ERA",Gene-Drugs
CCND1,BZD,Gene-Drugs
CCND1,"berberine, evodiamine",Gene-Drugs
CCND1,MCA,Gene-Drugs
CCND1,EGCG,Gene-Drugs
CCND1,HLCA,Gene-Drugs
CCND1,Palbociclib,Gene-Drugs
CCND1,Resveratrol,Gene-Drugs
CCND1,"Vitamin K2, Vitamin K3",Gene-Drugs
CCND1,GAA,Gene-Drugs
CCND1,Artemisinin,Gene-Drugs
CCND1,Smurf2 siRNA,Gene-Drugs
CCND1,SAHA,Gene-Drugs
CCND1,Rosiglitazone,Gene-Drugs
CCND1,EESB,Gene-Drugs
CCND1,AST,Gene-Drugs
CCND1,9za,Gene-Drugs
CCND1,"cis-nerolidol,trans-nerolidol",Gene-Drugs
CCND1,Butein,Gene-Drugs
CCND1,BRAF inhibitors,Gene-Drugs
CCND1,Salidroside,Gene-Drugs
CCND1,IB-MECA,Gene-Drugs
CCND1,PFE,Gene-Drugs
CCND1,Metformin,Gene-Drugs
CCND1,Abemaciclib,Gene-Drugs
CCND1,"ERBB2 inhibitors, EGFR inhibitors",Gene-Drugs
CCND1,BBR,Gene-Drugs
CCND1,AB680,Gene-Drugs
CCND1,PS1,Gene-Drugs
CCND1,SRJ23,Gene-Drugs
CCND1,Geldanamycin,Gene-Drugs
CCND1,"Flavopiridol,Doxorubicin",Gene-Drugs
CCND1,"Ceritinib, Ribociclib",Gene-Drugs
CCND1,TMOC,Gene-Drugs
CCND1,Rapamycin,Gene-Drugs
CCNE1,elacestrant,Gene-Drugs
CCNE1,PD-0332991,Gene-Drugs
CCNE1,SBX,Gene-Drugs
CCNE1,EGCG,Gene-Drugs
CCNE1,AST,Gene-Drugs
CCNE1,Butein,Gene-Drugs
CCNE1,Palbociclib,Gene-Drugs
CCNE1,"ERBB2 inhibitors, EGFR inhibitors",Gene-Drugs
CDKN1A,CDK4/6 inhibitors,Gene-Drugs
CDKN1A,"Abemaciclib, lenvatinib",Gene-Drugs
CDKN1A,Mannoprotein,Gene-Drugs
CDKN1A,Bortezomib (BTZ),Gene-Drugs
CDKN1A,Propionate,Gene-Drugs
CDKN1A,Talazoparib,Gene-Drugs
CDKN1A,BZD,Gene-Drugs
CDKN1A,"berberine, evodiamine",Gene-Drugs
CDKN1A,MCA,Gene-Drugs
CDKN1A,Resveratrol,Gene-Drugs
CDKN1A,Endosulfan,Gene-Drugs
CDKN1A,KT,Gene-Drugs
CDKN1A,GAA,Gene-Drugs
CDKN1A,Smurf2 siRNA,Gene-Drugs
CDKN1A,SAHA,Gene-Drugs
CDKN1A,Rosiglitazone,Gene-Drugs
CDKN1A,EESB,Gene-Drugs
CDKN1A,AST,Gene-Drugs
CDKN1A,PFE,Gene-Drugs
CDKN1A,BBR,Gene-Drugs
CDKN1A,TMOC,Gene-Drugs
CDKN2A,Enzalutamide,Gene-Drugs
CDKN2A,PARP inhibitors,Gene-Drugs
CDKN2A,CDK4/6 inhibitors,Gene-Drugs
CDKN2A,Palbociclib,Gene-Drugs
CDKN2A,NMBA,Gene-Drugs
CDKN2A,Imatinib,Gene-Drugs
CDKN2A,"palbociclib, trametinib",Gene-Drugs
CDKN2A,"Palbociclib, Letrozole",Gene-Drugs
CDKN2A,"MDM2/4 inhibitors, CDK4/6 inhibitors, immunotherapy",Gene-Drugs
CDKN2A,palbociclib,Gene-Drugs
CDKN2A,Combined drugs,Gene-Drugs
CDKN2A,Doxorubicin,Gene-Drugs
CDKN2A,Alcohol,Gene-Drugs
CDKN2A,3-carene,Gene-Drugs
CDKN2A,EGCG,Gene-Drugs
CDKN2A,Resveratrol,Gene-Drugs
CDKN2A,Artemisinin,Gene-Drugs
CDKN2A,ATRA,Gene-Drugs
CDKN2A,Abemaciclib,Gene-Drugs
CDKN2A,"Osimertinib, Palbociclib",Gene-Drugs
CDKN2A,"Osimertinib, palbociclib",Gene-Drugs
CDKN2A,"palbociclib,celecoxib",Gene-Drugs
CDKN2A,"CDK4/6 inhibitors, immunotherapy",Gene-Drugs
CDKN2A,"Palbociclib, Cetuximab",Gene-Drugs
CDKN2A,5-aza-2'-deoxycytidine,Gene-Drugs
CDKN2A,PD0332991,Gene-Drugs
CDKN2A,TMOC,Gene-Drugs
CDKN2A,BRAF/MEK inhibitors,Gene-Drugs
CDKN2A,"MEK inhibitors, CDK4/6 inhibitors",Gene-Drugs
CDKN2B,PARP inhibitors,Gene-Drugs
CDKN2B,"palbociclib, trametinib",Gene-Drugs
CDKN2B,Palbociclib,Gene-Drugs
CDKN2B,Combined drugs,Gene-Drugs
CDKN2B,"Osimertinib, Palbociclib",Gene-Drugs
CDKN2B,"Osimertinib, palbociclib",Gene-Drugs
CDKN2B,PD0332991,Gene-Drugs
E2F1,DBF,Gene-Drugs
E2F1,Alcohol,Gene-Drugs
E2F1,elacestrant,Gene-Drugs
E2F1,"Erk1/2 inhibitors,CDK4/6 inhibitors",Gene-Drugs
EGFR,Osimertinib,Gene-Drugs
EGFR,EGFR and HER2 inhibitors,Gene-Drugs
EGFR,"EGFR blockers, CDK4/6 inhibitors",Gene-Drugs
EGFR,"Cetuximab, Afatinib, Palbociclib",Gene-Drugs
EGFR,"palbociclib, erlotinib",Gene-Drugs
EGFR,EGFR-TKIs,Gene-Drugs
EGFR,"Necitumumab, afatinib, erlotinib",Gene-Drugs
EGFR,"MEK inhibitors, EGFR inhibitors",Gene-Drugs
EGFR,"CDK4/6 inhibitors, EGFR inhibitors",Gene-Drugs
EGFR,EGFR-TKI,Gene-Drugs
EGFR,Combined drugs,Gene-Drugs
EGFR,"Anti-EGFR therapy,CDK4/6 inhibitors",Gene-Drugs
EGFR,Tyrosine kinase inhibitors,Gene-Drugs
EGFR,"Temozolomide, CDK4/6 inhibitors, EGFR inhibitors",Gene-Drugs
EGFR,PD 0332991,Gene-Drugs
EGFR,EGFR inhibitors,Gene-Drugs
EGFR,"Osimertinib, Palbociclib",Gene-Drugs
EGFR,"Osimertinib, palbociclib",Gene-Drugs
EGFR,"Palbociclib,Erlotinib",Gene-Drugs
EGFR,B7-H3,Gene-Drugs
EGFR,Palbociclib,Gene-Drugs
EGFR,"EGFR inhibitors, HER2 inhibitors",Gene-Drugs
EGFR,"Afatinib,Palbociclib",Gene-Drugs
EGFR,multi-kinase inhibitors,Gene-Drugs
ERBB2,CDK4/6 inhibitors,Gene-Drugs
ERBB2,Palbociclib,Gene-Drugs
ERBB2,Neoadjuvant therapy,Gene-Drugs
ERBB2,"Palbociclib, Fulvestrant",Gene-Drugs
ERBB2,EGFR and HER2 inhibitors,Gene-Drugs
ERBB2,"Fulvestrant, Capivasertib",Gene-Drugs
ERBB2,Trastuzumab,Gene-Drugs
ERBB2,"Abemaciclib, fulvestrant, palbociclib, ribociclib",Gene-Drugs
ERBB2,"HER2-directed therapy, Chemotherapy",Gene-Drugs
ERBB2,CDK4/6 inhibitor,Gene-Drugs
ERBB2,"ribociclib,palbociclib,abemaciclib",Gene-Drugs
ERBB2,"Neratinib,Trastuzumab deruxtecan,Palbociclib",Gene-Drugs
ERBB2,"CDK4/6 inhibitors, Endocrine therapy",Gene-Drugs
ERBB2,"CDK4/6 inhibitors, Aromatase inhibitors",Gene-Drugs
ERBB2,Trastuzumab deruxtecan,Gene-Drugs
ERBB2,"Camizestrant, Fulvestrant",Gene-Drugs
ERBB2,"CDK4/6 inhibitors, anti-HER2",Gene-Drugs
ERBB2,"Dalpiciclib, pyrotinib",Gene-Drugs
ERBB2,"Tucatinib, letrozole, palbociclib",Gene-Drugs
ERBB2,Ribociclib,Gene-Drugs
ERBB2,Aromatase inhibitors,Gene-Drugs
ERBB2,"trastuzumab, lapatinib, pertuzumab, ado-trastuzumab emtansine",Gene-Drugs
ERBB2,Ibrutinib,Gene-Drugs
ERBB2,"EGFR inhibitors, HER2 inhibitors",Gene-Drugs
ERBB2,"Tucatinib, Palbociclib, Fulvestrant",Gene-Drugs
ERBB2,"Palbociclib, Abemaciclib, Ribociclib",Gene-Drugs
ERBB2,"Pertuzumab,T-DM1,Tyrosine kinase inhibitors",Gene-Drugs
ESR1,Tamoxifen,Gene-Drugs
ESR1,Letrozole,Gene-Drugs
ESR1,"Fulvestrant, BKM120",Gene-Drugs
ESR1,"Pemrametostat, Fulvestrant",Gene-Drugs
ESR1,Fulvestrant,Gene-Drugs
ESR1,"Fulvestrant, Camizestrant",Gene-Drugs
ESR1,"LH-RH agonist, aromatase inhibitor",Gene-Drugs
ESR1,Elacestrant,Gene-Drugs
ESR1,Endocrine therapy,Gene-Drugs
ESR1,Aromatase inhibitors,Gene-Drugs
ESR1,Hormone therapy,Gene-Drugs
ESR1,ER伪 inhibitors,Gene-Drugs
ESR1,Anti-estrogens,Gene-Drugs
ESR1,"Anti-estrogens, PI3K/AKT/mTOR inhibitors, CDK4/6 inhibitors",Gene-Drugs
ESR1,"elacestrant, fulvestrant",Gene-Drugs
ESR1,ATP-competitive inhibitors,Gene-Drugs
ESR1,CDK4/6 inhibitors,Gene-Drugs
ESR1,GPX4 inhibitors,Gene-Drugs
ESR1,"CDK4/6 inhibitors, Endocrine therapy",Gene-Drugs
ESR1,Selective ER degraders,Gene-Drugs
ESR1,"Camizestrant, Fulvestrant",Gene-Drugs
ESR1,"Fulvestrant, aromatase inhibitors",Gene-Drugs
ESR1,"Fulvestrant, anastrozole",Gene-Drugs
ESR1,"Tucatinib, letrozole, palbociclib",Gene-Drugs
ESR1,"SERD, SSH-CDK4/6 inhibitors",Gene-Drugs
ESR1,Palbociclib,Gene-Drugs
ESR1,Abemaciclib,Gene-Drugs
ESR1,Antiestrogens,Gene-Drugs
ESR1,"Tucatinib, Palbociclib, Fulvestrant",Gene-Drugs
ESR1,fulvestrant,Gene-Drugs
ESR1,"tamoxifen,aromatase inhibitors",Gene-Drugs
ESR1,"H3B-6545, fulvestrant",Gene-Drugs
ESR1,H3B-6545,Gene-Drugs
ESR1,Camizestrant,Gene-Drugs
MDM2,Inhibitors of CDK4 and MDM2,Gene-Drugs
MDM2,"CDK4 inhibitors, MDM2 inhibitors, cediranib, eribulin, crizotinib",Gene-Drugs
MDM2,"MDM2/4 inhibitors, CDK4/6 inhibitors, immunotherapy",Gene-Drugs
MDM2,Bortezomib,Gene-Drugs
MDM2,Anti-MDM2 therapies,Gene-Drugs
MDM2,MDM2 inhibitors,Gene-Drugs
MDM2,Palbociclib,Gene-Drugs
MTOR,"CDK4/6 inhibitors,ET",Gene-Drugs
MTOR,MTOR,Gene-Drugs
MTOR,"Palbociclib, Everolimus",Gene-Drugs
MTOR,"CDK4/6 inhibitors, mTOR inhibitors",Gene-Drugs
MTOR,"Alpelisib, MLN0128, palbociclib",Gene-Drugs
MTOR,Alpelisib,Gene-Drugs
MTOR,nab-sirolimus,Gene-Drugs
MTOR,"PI3K inhibitors, mTOR inhibitors, CDK4/6 inhibitors, Epigenetic modulators",Gene-Drugs
MTOR,"deucravacitinib, CDK4/6 inhibitors, mTOR inhibitors",Gene-Drugs
MTOR,"Everolimus, sunitinib",Gene-Drugs
MTOR,CDK4/6 inhibitors,Gene-Drugs
MTOR,"CDK4/6 inhibitors, mTOR inhibitors, PI3K inhibitors",Gene-Drugs
MTOR,"VEGF inhibitors, mTOR inhibitors",Gene-Drugs
MTOR,MLN0128,Gene-Drugs
MTOR,"Palbociclib, MLN0128",Gene-Drugs
MTOR,"Abemaciclib, lenvatinib",Gene-Drugs
MTOR,mTOR inhibitor,Gene-Drugs
MTOR,Palbociclib,Gene-Drugs
MTOR,Everolimus,Gene-Drugs
MTOR,Rapamycin,Gene-Drugs
MTOR,RMC-6272,Gene-Drugs
MTOR,"PI3K inhibitors, mTOR inhibitors",Gene-Drugs
MTOR,E6201,Gene-Drugs
MTOR,"CDK4/6 inhibitors, PI3K/mTOR inhibitors",Gene-Drugs
MTOR,FMD,Gene-Drugs
MTOR,PIK3CA/mTOR inhibitors,Gene-Drugs
MTOR,"Ribociclib, everolimus",Gene-Drugs
MTOR,fulvestrant,Gene-Drugs
MTOR,mTOR inhibitors,Gene-Drugs
MTOR,"Everolimus,Palbociclib,Ribociclib,Abemaciclib,Alpelisib",Gene-Drugs
MTOR,"PI3K/mTOR inhibitors, fulvestrant",Gene-Drugs
MTOR,PI3K/mTOR inhibitors,Gene-Drugs
MTOR,"CDK4/6 inhibitors, PI3K/AKT/mTOR inhibitors",Gene-Drugs
MTOR,"Aromatase inhibitors, mTOR inhibitors, CDK4/6 inhibitors",Gene-Drugs
MTOR,"PI3Ki, anti-HER2, chemotherapy, CDK4/6 inhibitors, mTOR inhibitors",Gene-Drugs
MTOR,"mTOR inhibitors, BRAF inhibitors, MEK inhibitors",Gene-Drugs
MTOR,Gedatolisib,Gene-Drugs
MTOR,"mTOR inhibitors, CDK4/6 inhibitors",Gene-Drugs
MTOR,"CDK4/6 inhibitors,mTOR inhibitors",Gene-Drugs
MYC,Abiraterone,Gene-Drugs
MYC,Palbociclib,Gene-Drugs
MYC,"Olaparib, Palbociclib",Gene-Drugs
MYC,palbociclib,Gene-Drugs
MYC,"Abemaciclib, lenvatinib",Gene-Drugs
MYC,Luteoloside,Gene-Drugs
MYC,RMC-6272,Gene-Drugs
MYC,Doxazosin,Gene-Drugs
MYC,CDK4/6 inhibitors,Gene-Drugs
MYC,Olaparib,Gene-Drugs
MYC,TGF-β,Gene-Drugs
NF1,"Palbociclib, fulvestrant",Gene-Drugs
NF1,Cobimetinib,Gene-Drugs
NRAS,"MEK inhibitors, CDK4/6 inhibitors",Gene-Drugs
NRAS,CDK4/6 inhibitors,Gene-Drugs
NRAS,"MEK1/2 inhibitors, CDK4/6 inhibitors",Gene-Drugs
NRAS,"Binimetinib, Ribociclib",Gene-Drugs
NRAS,"Palbociclib,BRAF inhibitors,MEK inhibitors",Gene-Drugs
NRAS,MEK inhibitors,Gene-Drugs
NRAS,Binimetinib,Gene-Drugs
NRAS,"CDK4/6 inhibitors, MEK inhibitors",Gene-Drugs
NRAS,BRAF/MEK inhibitors,Gene-Drugs
PIK3CA,"PI3K inhibitors, FGFR inhibitors, CDK4/6 inhibitors",Gene-Drugs
PIK3CA,PI3K inhibitors,Gene-Drugs
PIK3CA,"PI3K inhibitors, CDK4/6 inhibitors",Gene-Drugs
PIK3CA,"CDK4/6 inhibitors, FLT3 inhibitors, pan-PI3K inhibitors",Gene-Drugs
PIK3CA,"Piqray, Fulvestrant",Gene-Drugs
PIK3CA,Alpelisib,Gene-Drugs
PIK3CA,"Alpelisib, MLN0128, palbociclib",Gene-Drugs
PIK3CA,"PI3K inhibitors, mTOR inhibitors, CDK4/6 inhibitors, Epigenetic modulators",Gene-Drugs
PIK3CA,CDK4/6 inhibitors,Gene-Drugs
PIK3CA,"CDK4/6 inhibitors, mTOR inhibitors, PI3K inhibitors",Gene-Drugs
PIK3CA,"Capivasertib, fulvestrant",Gene-Drugs
PIK3CA,"letrozole, everolimus, palbociclib",Gene-Drugs
PIK3CA,"KRAS inhibitors, PI3K inhibitors, HSP90 inhibitors, CDK4/6 inhibitors, SHP2 inhibitors",Gene-Drugs
PIK3CA,"Alpelisib, Ribociclib",Gene-Drugs
PIK3CA,"Ribociclib, Alpelisib",Gene-Drugs
PIK3CA,Palbociclib,Gene-Drugs
PIK3CA,"Palbociclib, 7rh",Gene-Drugs
PIK3CA,"Neratinib,Trastuzumab deruxtecan,Palbociclib",Gene-Drugs
PIK3CA,"MEK inhibitors, CDK4/6 inhibitors",Gene-Drugs
PIK3CA,"PI3K inhibitors, HSP90 inhibitors",Gene-Drugs
PIK3CA,Osimertinib,Gene-Drugs
PIK3CA,"CDK4/6 inhibitors, PI3K/mTOR inhibitors",Gene-Drugs
PIK3CA,FMD,Gene-Drugs
PIK3CA,"Palbociclib, Fulvestrant",Gene-Drugs
PIK3CA,PIK3CA/mTOR inhibitors,Gene-Drugs
PIK3CA,"PIK3CA inhibitors, AR inhibitors, BCL2 inhibitors",Gene-Drugs
PIK3CA,alpelisib,Gene-Drugs
PIK3CA,"Everolimus,Palbociclib,Ribociclib,Abemaciclib,Alpelisib",Gene-Drugs
PIK3CA,"CDK4/6 inhibitors, PI3K/AKT/mTOR inhibitors",Gene-Drugs
PIK3CA,Gedatolisib,Gene-Drugs
PTEN,mTOR inhibitor,Gene-Drugs
PTEN,"Capivasertib, fulvestrant",Gene-Drugs
PTEN,Palbociclib,Gene-Drugs
PTEN,CDK4/6 inhibitors,Gene-Drugs
PTEN,TMOC,Gene-Drugs
RB1,NMBA,Gene-Drugs
RB1,CDK4/6 inhibitors,Gene-Drugs
RB1,Palbociclib,Gene-Drugs
RB1,CDK4/6 inhibitor,Gene-Drugs
RB1,"Abemaciclib, Ribociclib, Lenvatinib",Gene-Drugs
RB1,"CDK4/6 inhibitors, MEK inhibitors",Gene-Drugs
RB1,"Alpelisib, Ribociclib",Gene-Drugs
RB1,Abemaciclib,Gene-Drugs
RB1,TQB3616,Gene-Drugs
RB1,LEE011,Gene-Drugs
RB1,abemaciclib,Gene-Drugs
RB1,"MPT0L145, abemaciclib",Gene-Drugs
RB1,elacestrant,Gene-Drugs
RB1,HMBA,Gene-Drugs
RB1,SAHA,Gene-Drugs
RB1,CDK inhibitors,Gene-Drugs
RB1,"Erk1/2 inhibitors,CDK4/6 inhibitors",Gene-Drugs
RB1,G1T38,Gene-Drugs
RB1,Dalpiciclib,Gene-Drugs
RB1,"Palbociclib,Erlotinib",Gene-Drugs
RB1,PL,Gene-Drugs
RB1,Ribociclib,Gene-Drugs
RB1,"PD-0332991, LEE011",Gene-Drugs
RB1,rapamycin,Gene-Drugs
RB1,palbociclib,Gene-Drugs
RB1,"palbociclib, doxorubicin, AZD1775",Gene-Drugs
RB1,"ARV-825, Fulvestrant, Palbociclib",Gene-Drugs
RB1,"Ceritinib, Ribociclib",Gene-Drugs
RB1,"Palbociclib, Abemaciclib",Gene-Drugs
RB1,PF-7006,Gene-Drugs
TP53,"palbociclib, erlotinib",Gene-Drugs
TP53,"RP-6306, Gemcitabine",Gene-Drugs
TP53,Talazoparib,Gene-Drugs
TP53,Piceatannol,Gene-Drugs
TP53,KT,Gene-Drugs
TP53,Doxazosin,Gene-Drugs
TP53,Osimertinib,Gene-Drugs
TP53,doxorubicin,Gene-Drugs
TP53,"RP-6306, gemcitabine",Gene-Drugs
TP53,TP53-modulating drugs,Gene-Drugs
TP53,MDM2 inhibitors,Gene-Drugs
AKT1,PI3K,Gene-Pathway
AKT1,"EGFR, HER2, AKT",Gene-Pathway
AKT1,IL-17 signaling,Gene-Pathway
AKT1,"p16(INK4A)-CDK4-RB, RAS-RAF-MEK-ERK, PI3K-AKT",Gene-Pathway
BRAF,RAS-BRAF,Gene-Pathway
BRAF,RAS-RAF-MEK-ERK,Gene-Pathway
BRAF,"BRAF/MEK, ALK, CDK4/6",Gene-Pathway
BRAF,Mitogen-activated protein kinase pathway,Gene-Pathway
BRAF,RAS-MAPK,Gene-Pathway
BRAF,MAPK,Gene-Pathway
BRAF,BRAF pathway,Gene-Pathway
CCND1,RAS-BRAF,Gene-Pathway
CCND1,p16-cdk4-cyclin D1-pRb,Gene-Pathway
CCND1,CDK4/CDK6-cyclin D1-Rb-p16/ink4a pathway,Gene-Pathway
CCND1,CDK4/CDK6-cyclin D1 pathway,Gene-Pathway
CCND1,Ubiquitin-proteasome system,Gene-Pathway
CCND1,Cell-cycle pathway,Gene-Pathway
CCND1,"PI3K-AKT, CCND1-CDK4/6",Gene-Pathway
CCND1,pRb,Gene-Pathway
CCND1,Cell cycle,Gene-Pathway
CCND1,Cell-cycle markers,Gene-Pathway
CCND1,PI3K/AKT,Gene-Pathway
CCND1,AKT/mTOR,Gene-Pathway
